user_id,second_purchase_item_quantity,third_purchase_item_quantity,fourth_purchase_item_quantity,fifth_purchase_item_quantity,status_f3,status_f4,status_f5
2,3,,,,,,
4,3,3,2,2,維持,減少,維持
11,3,3,3,3,維持,維持,維持
15,3,,,,,,
16,3,3,,,維持,,
17,3,3,3,3,維持,維持,維持
20,3,3,,,維持,,
382,3,3,3,3,維持,維持,維持
33887,3,3,3,3,維持,維持,維持
59540,3,3,3,3,維持,維持,維持
36,3,3,3,3,維持,維持,維持
44,3,3,3,3,維持,維持,維持
51,3,3,3,3,維持,維持,維持
17030,3,3,3,3,維持,維持,維持
55,2,2,,,維持,,
56,2,2,,,維持,,
58,2,2,2,2,維持,維持,維持
62,3,3,3,3,維持,維持,維持
63,3,,,,,,
59568,3,3,3,3,維持,維持,維持
68,3,3,,,維持,,
71,3,3,3,3,維持,維持,維持
1738,3,3,3,3,維持,維持,維持
76,2,,,,,,
80,3,3,3,3,維持,維持,維持
85,2,2,2,2,維持,維持,維持
86,1,1,1,1,維持,維持,維持
89,2,2,2,2,維持,維持,維持
90,3,3,3,3,維持,維持,維持
102,2,2,2,2,維持,維持,維持
103,3,,,,,,
44115,3,3,3,3,維持,維持,維持
109,3,3,2,2,維持,減少,維持
110,3,3,3,,維持,維持,
112,3,3,3,3,維持,維持,維持
117,2,,,,,,
120,3,3,2,2,維持,減少,維持
122,2,,,,,,
124,3,3,3,3,維持,維持,維持
125,3,3,3,3,維持,維持,維持
31506,3,3,3,3,維持,維持,維持
139,2,2,2,,維持,維持,
149,3,3,3,3,維持,維持,維持
150,3,3,3,3,維持,維持,維持
48301,3,3,3,3,維持,維持,維持
11777,1,1,3,3,維持,増加,維持
155,3,3,,,維持,,
156,3,3,3,3,維持,維持,維持
160,3,3,,,維持,,
164,3,3,3,3,維持,維持,維持
165,3,3,3,3,維持,維持,維持
167,2,,,,,,
169,3,3,3,3,維持,維持,維持
172,3,3,3,3,維持,維持,維持
173,2,2,2,2,維持,維持,維持
176,3,3,3,3,維持,維持,維持
179,1,1,1,1,維持,維持,維持
182,2,2,2,2,維持,維持,維持
35505,3,3,3,3,維持,維持,維持
188,3,3,3,3,維持,維持,維持
550,3,3,3,3,維持,維持,維持
197,3,3,2,2,維持,減少,維持
200,3,3,3,3,維持,維持,維持
13888,3,3,3,3,維持,維持,維持
15858,3,3,3,3,維持,維持,維持
211,3,3,3,3,維持,維持,維持
17554,3,3,3,3,維持,維持,維持
217,3,3,3,3,維持,維持,維持
218,3,3,3,3,維持,維持,維持
226,3,3,3,3,維持,維持,維持
230,3,3,3,3,維持,維持,維持
232,3,3,3,3,維持,維持,維持
233,3,,,,,,
237,2,2,2,2,維持,維持,維持
241,3,3,3,3,維持,維持,維持
242,3,3,3,3,維持,維持,維持
244,3,3,3,3,維持,維持,維持
247,3,3,3,3,維持,維持,維持
248,3,3,3,3,維持,維持,維持
249,3,3,3,3,維持,維持,維持
252,3,3,3,3,維持,維持,維持
253,1,1,1,1,維持,維持,維持
21710,3,3,3,3,維持,維持,維持
261,3,3,3,3,維持,維持,維持
264,3,3,3,3,維持,維持,維持
265,3,3,,,維持,,
269,2,2,3,3,維持,増加,維持
273,3,3,3,3,維持,維持,維持
274,3,3,3,3,維持,維持,維持
276,3,3,3,3,維持,維持,維持
277,3,3,3,3,維持,維持,維持
280,3,3,3,3,維持,維持,維持
282,3,3,3,3,維持,維持,維持
285,2,2,2,2,維持,維持,維持
287,1,1,,,維持,,
288,3,2,2,3,減少,維持,増加
296,1,,,,,,
301,3,3,3,,維持,維持,
28533,3,2,2,2,減少,維持,維持
34045,3,3,3,3,維持,維持,維持
305,2,2,2,2,維持,維持,維持
306,2,2,,,維持,,
31733,3,3,3,3,維持,維持,維持
315,3,3,3,3,維持,維持,維持
317,3,,,,,,
322,2,2,2,2,維持,維持,維持
45197,3,3,3,3,維持,維持,維持
33583,2,2,2,2,維持,維持,維持
51398,2,2,2,2,維持,維持,維持
342,3,3,3,3,維持,維持,維持
343,3,3,3,3,維持,維持,維持
348,2,2,1,1,維持,減少,維持
351,1,1,3,3,維持,増加,維持
355,2,,,,,,
359,3,3,3,3,維持,維持,維持
361,2,2,2,2,維持,維持,維持
19079,3,3,3,3,維持,維持,維持
368,3,3,3,3,維持,維持,維持
375,3,2,2,,減少,維持,
376,3,3,3,,維持,維持,
378,3,3,3,3,維持,維持,維持
25596,3,3,3,3,維持,維持,維持
388,3,,,,,,
389,3,3,3,3,維持,維持,維持
390,3,,,,,,
391,2,2,2,2,維持,維持,維持
14576,3,3,3,3,維持,維持,維持
395,2,2,2,,維持,維持,
397,1,1,1,1,維持,維持,維持
400,3,3,3,,維持,維持,
404,2,2,2,2,維持,維持,維持
410,3,3,3,3,維持,維持,維持
411,3,3,3,3,維持,維持,維持
19003,2,2,2,2,維持,維持,維持
414,1,,,,,,
421,3,3,,,維持,,
424,3,3,,,維持,,
427,3,3,3,3,維持,維持,維持
428,1,1,3,3,維持,増加,維持
429,3,3,3,3,維持,維持,維持
432,3,3,3,3,維持,維持,維持
49657,3,3,3,3,維持,維持,維持
435,3,3,3,3,維持,維持,維持
436,3,3,3,3,維持,維持,維持
